u,b,h,d,P
0,0,1,1,0.428571
0,0,1,2,0.183673
0,0,2,2,0.183673
0,0,1,3,0.078717
0,0,2,3,0.078717
0,0,3,3,0.078717
0,0,1,4,0.033736
0,0,2,4,0.033736
0,0,3,4,0.033736
0,0,4,4,0.033736
0,1,1,1,0.428571
0,1,1,2,0.183673
0,1,2,2,0.183673
0,1,1,3,0.078717
0,1,2,3,0.078717
0,1,3,3,0.078717
0,1,1,4,0.033736
0,1,2,4,0.033736
0,1,3,4,0.033736
0,1,4,4,0.033736
0,2,1,1,0.428571
0,2,1,2,0.183673
0,2,2,2,0.183673
0,2,1,3,0.078717
0,2,2,3,0.078717
0,2,3,3,0.078717
0,2,1,4,0.033736
0,2,2,4,0.033736
0,2,3,4,0.033736
0,2,4,4,0.033736
0,3,1,1,0.428571
0,3,1,2,0.183673
0,3,2,2,0.183673
0,3,1,3,0.078717
0,3,2,3,0.078717
0,3,3,3,0.078717
0,3,1,4,0.033736
0,3,2,4,0.033736
0,3,3,4,0.033736
0,3,4,4,0.033736
1,0,1,1,0.428571
1,0,1,2,0.183673
1,0,2,2,0.183673
1,0,1,3,0.078717
1,0,2,3,0.078717
1,0,3,3,0.078717
1,0,1,4,0.033736
1,0,2,4,0.033736
1,0,3,4,0.033736
1,0,4,4,0.033736
1,1,1,1,0.428571
1,1,1,2,0.183673
1,1,2,2,0.183673
1,1,1,3,0.078717
1,1,2,3,0.078717
1,1,3,3,0.078717
1,1,1,4,0.033736
1,1,2,4,0.033736
1,1,3,4,0.033736
1,1,4,4,0.033736
1,2,1,1,0.428571
1,2,1,2,0.183673
1,2,2,2,0.183673
1,2,1,3,0.078717
1,2,2,3,0.078717
1,2,3,3,0.078717
1,2,1,4,0.033736
1,2,2,4,0.033736
1,2,3,4,0.033736
1,2,4,4,0.033736
1,3,1,1,0.428571
1,3,1,2,0.183673
1,3,2,2,0.183673
1,3,1,3,0.078717
1,3,2,3,0.078717
1,3,3,3,0.078717
1,3,1,4,0.033736
1,3,2,4,0.033736
1,3,3,4,0.033736
1,3,4,4,0.033736
2,0,1,1,0.428571
2,0,1,2,0.183673
2,0,2,2,0.183673
2,0,1,3,0.078717
2,0,2,3,0.078717
2,0,3,3,0.078717
2,0,1,4,0.033736
2,0,2,4,0.033736
2,0,3,4,0.033736
2,0,4,4,0.033736
2,1,1,1,0.428571
2,1,1,2,0.183673
2,1,2,2,0.183673
2,1,1,3,0.078717
2,1,2,3,0.078717
2,1,3,3,0.078717
2,1,1,4,0.033736
2,1,2,4,0.033736
2,1,3,4,0.033736
2,1,4,4,0.033736
2,2,1,1,0.428571
2,2,1,2,0.183673
2,2,2,2,0.183673
2,2,1,3,0.078717
2,2,2,3,0.078717
2,2,3,3,0.078717
2,2,1,4,0.033736
2,2,2,4,0.033736
2,2,3,4,0.033736
2,2,4,4,0.033736
2,3,1,1,0.428571
2,3,1,2,0.183673
2,3,2,2,0.183673
2,3,1,3,0.078717
2,3,2,3,0.078717
2,3,3,3,0.078717
2,3,1,4,0.033736
2,3,2,4,0.033736
2,3,3,4,0.033736
2,3,4,4,0.033736
3,0,1,1,0.428571
3,0,1,2,0.183673
